,,,,,,,,,,,,
,Dutch Banlga Bank Ltd— Financial Dataset (2025 -2015),,,,,,,,,,,
,Summery ,,,,,,,,,,,
,Mean ROE % (2015-2025),,,,,,0.1575454545,,,,,
,Std Dev ROE % (2015-2025),,,,,,0.03486649864,,,,,
,"Sharpe-like ratio (rf=3%, full period)",,,,,,3.65810906,,,,,
,Rolling mean ROE % (2019-2024 window),,,,,,0.1558333333,,,,,
,Rolling std dev ROE % (2019-2024),,,,,,0.0330418926,,,,,
,Rolling Sharpe-like ratio (2019-2024),,,,,,3.808296784,,,,,
,Equity CAGR % (2015-2025),,,,,,0.1361966277,,,,,
,"Max drawdown in NPAT %, 2015-2025 (peak-to-trough)",,,,,,-41.2,,,,,
,"Newey-West (HAC) trend regression: NPL% vs year, slope",,,,,,0.1945454545,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Metric,Unit,2025.0,2024.0,2023.0,2022.0,2021.0,2020.0,2019.0,2018.0,2017.0,2016.0,2015.0
BALANCE SHEET (mn Taka),,,,,,,,,,,,
Total Assets,Tk mn,817797.6,679875.5,593883.1,555473.6,514399.8,472355.4,390362.0,346468.8,311906.8,264797.4,244057.6
"Loans & Advances, gross",Tk mn,450503.8,428689.4,412073.0,364000.8,319448.1,273382.9,256239.7,231553.9,207257.4,173397.8,152270.0
Total Deposits,Tk mn,622057.8,521872.5,472590.1,438131.3,401500.3,362611.0,302159.2,262467.7,233796.4,207234.0,186765.0
Shareholders' Equity,Tk mn,60070.5,51608.2,48172.8,41638.8,36966.4,32256.7,27443.3,23086.0,19482.2,17672.7,16754.3
INCOME STATEMENT (mn Taka),,,,,,,,,,,,
Net Interest Income,Tk mn,19871.9,29256.2,N/A,N/A,N/A,14129.7,17784.0,N/A,N/A,9963.5,9788.0
Non-Interest Income,Tk mn,10078.5,7258.4,N/A,N/A,N/A,5340.8,5749.7,N/A,N/A,3895.8,3761.4
Net Profit After Tax,Tk mn,9647.7,4734.8,8017.4,5661.7,5561.1,5498.7,4341.4,4201.4,2455.2,1775.2,3020.3
PER-SHARE & PROFITABILITY,,,,,,,,,,,,
EPS (Taka),BDT,9.98,5.39,10.72,8.14,8.8,10.0,8.7,21.0,12.3,8.9,15.1
ROA %,%,0.013,0.007,0.014,0.011,0.011,0.013,0.012,0.013,0.009,0.007,0.013
ROE %,%,0.173,0.095,0.179,0.144,0.161,0.184,0.172,0.197,0.132,0.103,0.193
ASSET QUALITY,,,,,,,,,,,,
Loan-Deposit Ratio %,%,0.68,0.779,0.826,0.765,0.718,0.643,0.739,0.772,0.756,0.794,0.815
NPL % (gross),%,0.064,0.077,0.041,0.043,0.037,0.022,0.044,0.041,0.047,0.052,0.037
Provision Coverage %,%,1.182,0.759,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CAPITAL & EFFICIENCY,,,,,,,,,,,,
CRAR % (Group),%,0.171,0.138,0.162,0.156,0.164,0.172,0.155,0.156,0.13,0.131,0.137
Cost-to-Income Ratio % (Group),%,0.497,0.524,0.595,0.613,0.588,0.605,0.582,0.616,0.693,0.653,0.588
DERIVED METRICS,,,,,,,,,,,,
Estimated NPL amount,Tk mn,28832.2,33009.1,16895.0,15652.0,11819.6,6014.4,11274.5,9493.7,9741.1,9016.7,5634.0
NPL / Total Assets %,%,0.0353,0.0486,0.0284,0.0282,0.023,0.0127,0.0289,0.0274,0.0312,0.0341,0.0231
YoY NPAT growth %,%,1.038,-0.409,0.416,0.018,0.011,0.267,0.033,0.711,0.383,-0.412,0.369
YoY Equity growth %,%,0.164,0.071,0.157,0.126,0.146,0.175,0.189,0.185,0.102,0.055,0.154
